claim_id,note,category
SYN-0001,"23 Sep. Loose handrail at insd cafe gave way; member of public fell on stairs, head laceration, glasses broken. Handrail since repaired $150. Injury claim anticipated.",LIABILITY_INJURY
SYN-0002,"03 Mar. Low-speed car park contact with TP vehicle. Cosmetic scuffs only, $600. TP driver mentioned headache at scene and has since submitted whiplash claim via solicitors.",MOTOR_BI
SYN-0003,"12 Jun: customer Mrs Osei slipped on wet floor at insd showroom, no wet floor sign per CCTV. Ankle injury, taken to hospital. Incident book completed, EL/PL claim expected.",LIABILITY_INJURY
SYN-0004,"FNOL 19 Dec. Insd saloon rear-ended by TP at traffic lights, Harbour Rd. Driver reports neck stiffness, GP visit booked. Rear bumper and boot damage, est $4,000. TP insurer notified.",MOTOR_BI
SYN-0005,"10 Jan: customer Mr Brennan slipped on wet floor at insd supermarket, no wet floor sign per CCTV. Ankle injury, taken to hospital. Incident book completed, EL/PL claim expected.",LIABILITY_INJURY
SYN-0006,"FNOL 11 Nov. Electrical fault in utility room caused localised fire. Fire service attended, property safe. Alternative accommodation arranged 2 wks. Loss adjuster instructed.",PROPERTY_FIRE
SYN-0007,"FNOL 07 Dec. Insd estate vs bollard, front axle and radiator damage, repair est $6,100. Note added 05 Nov: passenger now reporting lower back pain since incident, physio referral. Update reserve.",MOTOR_BI
SYN-0008,"05 Feb: multi-vehicle shunt on ring road. Insd driver Mrs Osei attended A&E with wrist pain, discharged same day. Vehicle recovered, NSD front end. Awaiting engineer report and TP details.",MOTOR_BI
SYN-0009,"12 Aug: TP ran red light and struck insd nearside doors. Both drivers exchanged details, both confirmed uninjured at scene and on follow-up call. Doors and B-pillar, est $2,750. Pursuing recovery from TP insurer.",MOTOR_PD
SYN-0010,"26 Feb: multi-vehicle shunt on ring road. Insd driver Ms Reyes attended A&E with wrist pain, discharged same day. Vehicle recovered, NSD front end. Awaiting engineer report and TP details.",MOTOR_BI
SYN-0011,"Windscreen and bonnet damage from debris on motorway, 26 Aug. No other vehicle involved, no injury. Glass replaced $600, bonnet respray quoted.",MOTOR_PD
SYN-0012,"17 Mar: multi-vehicle shunt on ring road. Insd driver Mr Nakamura attended A&E with wrist pain, discharged same day. Vehicle recovered, NSD front end. Awaiting engineer report and TP details.",MOTOR_BI
SYN-0013,"Slow leak from loft pipework discovered during redecoration, 13 Jan. Joist damp readings high, trace and access cover confirmed. Drying regime 2-3 wks before reinstatement.",PROPERTY_WATER
SYN-0014,"FNOL 07 May. Insd hatchback reversed into gatepost at home address. Rear panel dented, no injuries, no TP. Repair est $1,800. Excess applies.",MOTOR_PD
SYN-0015,"FNOL 24 Mar. Insd pickup rear-ended by TP at traffic lights, Cedar Ct. Driver reports neck stiffness, GP visit booked. Rear bumper and boot damage, est $3,000. TP insurer notified.",MOTOR_BI
SYN-0016,"Garden outbuilding destroyed by fire 18 May, cause TBC, possible disposable BBQ. Fence panels and adjacent cladding heat damaged. No injuries. Est $4,850.",PROPERTY_FIRE
SYN-0017,"15 Dec: customer Ms Tan slipped on wet floor at insd showroom, no wet floor sign per CCTV. Ankle injury, taken to hospital. Incident book completed, EL/PL claim expected.",LIABILITY_INJURY
SYN-0018,"Slow leak from kitchen pipework discovered during redecoration, 19 Nov. Joist damp readings high, trace and access cover confirmed. Drying regime 2-3 wks before reinstatement.",PROPERTY_WATER
SYN-0019,"22 Jul. Small fire in hallway extinguished by sprinkler activation. Fire damage limited, but water from suppression affected stock and flooring below. Combined est $12,650. Treat as single fire loss.",PROPERTY_FIRE
SYN-0020,"FNOL 24 Jun. Visitor tripped on raised paving at insd premises entrance (gym). Fractured wrist confirmed. Solicitors letter of claim received, indemnity being reviewed.",LIABILITY_INJURY
SYN-0021,"28 May. Small fire in loft extinguished by sprinkler activation. Fire damage limited, but water from suppression affected stock and flooring below. Combined est $7,100. Treat as single fire loss.",PROPERTY_FIRE
SYN-0022,"FNOL 07 Oct. Visitor tripped on raised paving at insd premises entrance (gym). Fractured wrist confirmed. Solicitors letter of claim received, indemnity being reviewed.",LIABILITY_INJURY
SYN-0023,"Claim opened 09 Jun. Cyclist collision at junction of Foundry Way. Cyclist sustained leg injury, ambulance attended. Insd pickup minor wing damage. Liability under investigation, injury reserve to be set.",MOTOR_BI
SYN-0024,"26 Jul: customer Ms Kowalski slipped on wet floor at insd cafe, no wet floor sign per CCTV. Ankle injury, taken to hospital. Incident book completed, EL/PL claim expected.",LIABILITY_INJURY
SYN-0025,"FNOL 28 Jul. Visitor tripped on raised paving at insd premises entrance (showroom). Fractured wrist confirmed. Solicitors letter of claim received, indemnity being reviewed.",LIABILITY_INJURY
SYN-0026,"12 Dec: escape of water from burst pipe in utility room. Ceiling below collapsed, flooring lifted. Dehumidifiers on site, strip-out quote $3,600. Policyholder in situ.",PROPERTY_WATER
SYN-0027,"11 Dec. Low-speed car park contact with TP vehicle. Cosmetic scuffs only, $600. TP driver mentioned headache at scene and has since submitted whiplash claim via solicitors.",MOTOR_BI
SYN-0028,"FNOL 20 Oct. Insd estate rear-ended by TP at traffic lights, Mill Lane. Driver reports neck stiffness, GP visit booked. Rear bumper and boot damage, est $1,300. TP insurer notified.",MOTOR_BI
SYN-0029,"07 Jul: customer Mr Okafor slipped on wet floor at insd hotel lobby, no wet floor sign per CCTV. Ankle injury, taken to hospital. Incident book completed, EL/PL claim expected.",LIABILITY_INJURY
SYN-0030,"FNOL 07 Oct. Insd saloon reversed into gatepost at home address. Rear panel dented, no injuries, no TP. Repair est $900. Excess applies.",MOTOR_PD
SYN-0031,"Delivery driver struck by falling stock in insd showroom storeroom, 04 Dec. Shoulder injury, off work. RIDDOR reportable. Reserve for GD and specials.",LIABILITY_INJURY
SYN-0032,"19 Mar: customer Mr Brennan slipped on wet floor at insd showroom, no wet floor sign per CCTV. Ankle injury, taken to hospital. Incident book completed, EL/PL claim expected.",LIABILITY_INJURY
SYN-0033,"15 Jan. Water ingress from flat above (their hallway overflow). Insd ceiling stained and light fitting affected. Recovery against upstairs policy to be considered, est $1,350.",PROPERTY_WATER
SYN-0034,"19 May: pan fire in bathroom, extinguished by insd before brigade arrival. Smoke damage throughout ground floor, cabinetry scorched. Cleaning and redecoration est $9,750.",PROPERTY_FIRE
SYN-0035,"FNOL 17 Feb. Insd estate vs bollard, front axle and radiator damage, repair est $3,950. Note added 14 Oct: passenger now reporting lower back pain since incident, physio referral. Update reserve.",MOTOR_BI
SYN-0036,"FNOL 18 Aug. Insd hatchback vs bollard, front axle and radiator damage, repair est $3,200. Note added 10 Aug: passenger now reporting lower back pain since incident, physio referral. Update reserve.",MOTOR_BI
SYN-0037,"Windscreen and bonnet damage from debris on motorway, 19 Nov. No other vehicle involved, no injury. Glass replaced $450, bonnet respray quoted.",MOTOR_PD
SYN-0038,"18 Jan: escape of water from burst pipe in utility room. Ceiling below collapsed, flooring lifted. Dehumidifiers on site, strip-out quote $4,050. Policyholder in situ.",PROPERTY_WATER
SYN-0039,"17 Feb. Insd pickup aquaplaned and left carriageway into hedge. Airbags deployed, vehicle likely total loss $10,100. Driver checked by paramedics at scene, no injuries reported, declined hospital.",MOTOR_PD
SYN-0040,"24 Jan: escape of water from burst pipe in kitchen. Ceiling below collapsed, flooring lifted. Dehumidifiers on site, strip-out quote $3,350. Policyholder in situ.",PROPERTY_WATER
SYN-0041,"FNOL 19 Nov. Washing machine hose failed while insd away, water tracked through en-suite into hallway. Contents damage inc laminate and skirting. Leak detection attended, mains isolated.",PROPERTY_WATER
SYN-0042,"FNOL 06 Jun. Washing machine hose failed while insd away, water tracked through utility room into hallway. Contents damage inc laminate and skirting. Leak detection attended, mains isolated.",PROPERTY_WATER
SYN-0043,"08 Apr: escape of water from burst pipe in en-suite. Ceiling below collapsed, flooring lifted. Dehumidifiers on site, strip-out quote $6,550. Policyholder in situ.",PROPERTY_WATER
SYN-0044,"Claim opened 16 May. Cyclist collision at junction of Orchard Cl. Cyclist sustained leg injury, ambulance attended. Insd van minor wing damage. Liability under investigation, injury reserve to be set.",MOTOR_BI
SYN-0045,"27 Sep. Loose handrail at insd gym gave way; member of public fell on stairs, head laceration, glasses broken. Handrail since repaired $350. Injury claim anticipated.",LIABILITY_INJURY
SYN-0046,"Slow leak from utility room pipework discovered during redecoration, 28 Dec. Joist damp readings high, trace and access cover confirmed. Drying regime 2-3 wks before reinstatement.",PROPERTY_WATER
SYN-0047,"FNOL 17 Aug. Insd van reversed into gatepost at home address. Rear panel dented, no injuries, no TP. Repair est $1,550. Excess applies.",MOTOR_PD
SYN-0048,"23 Sep: TP ran red light and struck insd nearside doors. Both drivers exchanged details, both confirmed uninjured at scene and on follow-up call. Doors and B-pillar, est $4,850. Pursuing recovery from TP insurer.",MOTOR_PD
SYN-0049,"FNOL 20 Mar. Insd saloon reversed into gatepost at home address. Rear panel dented, no injuries, no TP. Repair est $950. Excess applies.",MOTOR_PD
SYN-0050,"08 Jan. Insd estate aquaplaned and left carriageway into hedge. Airbags deployed, vehicle likely total loss $9,550. Driver checked by paramedics at scene, no injuries reported, declined hospital.",MOTOR_PD
SYN-0051,"25 Mar. Loose handrail at insd warehouse unit gave way; member of public fell on stairs, head laceration, glasses broken. Handrail since repaired $250. Injury claim anticipated.",LIABILITY_INJURY
SYN-0052,"FNOL 15 Nov. Flood water on Beacon St ingressed insd estate footwells, electrics fault. No occupants at time, no injury. Engineer to assess, est $7,050.",MOTOR_PD
SYN-0053,"Garden outbuilding destroyed by fire 12 Jul, cause TBC, possible disposable BBQ. Fence panels and adjacent cladding heat damaged. No injuries. Est $13,900.",PROPERTY_FIRE
SYN-0054,"19 Nov: customer Mr Brennan slipped on wet floor at insd showroom, no wet floor sign per CCTV. Ankle injury, taken to hospital. Incident book completed, EL/PL claim expected.",LIABILITY_INJURY
SYN-0055,"01 Feb: TP ran red light and struck insd nearside doors. Both drivers exchanged details, both confirmed uninjured at scene and on follow-up call. Doors and B-pillar, est $5,350. Pursuing recovery from TP insurer.",MOTOR_PD
SYN-0056,"FNOL 13 Dec. Insd saloon reversed into gatepost at home address. Rear panel dented, no injuries, no TP. Repair est $1,050. Excess applies.",MOTOR_PD
SYN-0057,"Claim opened 23 Jul. Cyclist collision at junction of Cedar Ct. Cyclist sustained leg injury, ambulance attended. Insd estate minor wing damage. Liability under investigation, injury reserve to be set.",MOTOR_BI
SYN-0058,"09 May. Small fire in en-suite extinguished by sprinkler activation. Fire damage limited, but water from suppression affected stock and flooring below. Combined est $14,400. Treat as single fire loss.",PROPERTY_FIRE
SYN-0059,"FNOL 20 Jun. Insd van rear-ended by TP at traffic lights, Elm Ave. Driver reports neck stiffness, GP visit booked. Rear bumper and boot damage, est $2,100. TP insurer notified.",MOTOR_BI
SYN-0060,"24 Aug. Water ingress from flat above (their en-suite overflow). Insd ceiling stained and light fitting affected. Recovery against upstairs policy to be considered, est $900.",PROPERTY_WATER
SYN-0061,"Claim opened 06 Jul. Cyclist collision at junction of Foundry Way. Cyclist sustained leg injury, ambulance attended. Insd hatchback minor wing damage. Liability under investigation, injury reserve to be set.",MOTOR_BI
